2025-01-14 17:11:31.411713+05:00 | EVENT | Время на запрос, 0.5423228740692139
2025-01-14 17:11:31.412716+05:00 | ERROR | {"error":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","code":3,"message":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","details":[]}
2025-01-14 17:11:31.443428+05:00 | EVENT | results - [{'req_Number': '27388c4e-c064-4b72-8b64-3bbbc913a94c', 'positions': []}]
2025-01-14 17:12:11.656873+05:00 | EVENT | Время на запрос, 0.5368466377258301
2025-01-14 17:12:11.656873+05:00 | ERROR | {"error":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","code":3,"message":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","details":[]}
2025-01-14 17:12:11.678749+05:00 | EVENT | results - [{'req_Number': '688d1391-1045-48ca-a354-33a838936f9e', 'positions': []}]
2025-01-14 17:12:44.775019+05:00 | EVENT | Время на запрос, 0.17556333541870117
2025-01-14 17:12:44.775019+05:00 | ERROR | {"error":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","code":3,"message":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","details":[]}
2025-01-14 17:12:44.813574+05:00 | EVENT | results - [{'req_Number': 'a3b1b31d-2760-4342-ae39-34f442b32f8d', 'positions': []}]
2025-01-14 17:12:56.604304+05:00 | EVENT | Время на запрос, 0.13934087753295898
2025-01-14 17:12:56.604304+05:00 | ERROR | {"error":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","code":3,"message":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","details":[]}
2025-01-14 17:12:56.624261+05:00 | EVENT | results - [{'req_Number': 'e82f2a08-0413-43b0-a423-3797124cfa67', 'positions': []}]
2025-01-14 17:13:02.777635+05:00 | EVENT | Время на запрос, 0.14096951484680176
2025-01-14 17:13:02.777635+05:00 | ERROR | {"error":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","code":3,"message":"json: cannot unmarshal string into Go value of type map[string]json.RawMessage","details":[]}
2025-01-14 17:13:02.812647+05:00 | EVENT | results - [{'req_Number': 'db9de493-0469-4f41-ad98-6b9c65e78177', 'positions': []}]
