question,answer
арматура ф 16 а 500 с 12 м 12.864 тн ,eydudW1fbWF0JzogJzk1Njc5JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTYgMTIg0Jwg0JAgNTAwINChIDM0MDI4LTE2JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICcxMi44NjQnfQ==
арматура ф 12 а 500 с 12 м 5.088 тн ,eydudW1fbWF0JzogJzk1Njg4JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgOCAxMiDQnCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzUuMDg4J30=
арматура ф 6 а 240 с 12 м 0.3 тн ,eydudW1fbWF0JzogJzExMzI3NScsICduYW1lX21hdCc6ICfQkNGA0LzQsNGC0YPRgNCwIDEyIDYg0Jwg0JAgMjQwIDM0MDI4LTE2JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICcwLjMwMCd9
проволока вязальная 1.2 237 кг  ,eydudW1fbWF0JzogJzI5MzE3JywgJ25hbWVfbWF0JzogJ9Cf0YDQvtCy0L7Qu9C+0LrQsCDQvdC10YDQtiBEIDEuMicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICcyMzcuMDAwJ30=
уголок 50 50 5 ст 3-2.5 тн ,eydudW1fbWF0JzogJzg4OTcnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDAuOTUgOTInLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzIuNTAwJ30=
швеллер 8  п ст 3-1.5 тн ,eydudW1fbWF0JzogJzg1Mjc3JywgJ25hbWVfbWF0JzogJ9Co0LLQtdC70LvQtdGAIDgg0J8gNiDQvCDRgdGCIDMnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNTAwJ30=
швеллер 12 п-1 шт 12 м ,eydudW1fbWF0JzogJzU4MzEnLCAnbmFtZV9tYXQnOiAnINCf0LvQsNC90LrQsCDRgtC+0YDRhtC10LLQsNGPIDk1IDEyMCAxNSAwLjQgMiDQvCDQn9CtIFJBTCAzMDA1INC60YDQsNGB0L3QvtC1INCy0LjQvdC+INCaLTUwNicsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
швеллер 20  у ст 3 с 255 28 шт по 12 м ,eydudW1fbWF0JzogJzU5NTknLCAnbmFtZV9tYXQnOiAnINCS0LXRgtGA0L7QstCw0Y8g0LTQvtGB0LrQsCDQtNC70Y8g0LzRj9Cz0LrQvtC5INC60YDQvtCy0LvQuCAxMDAgMjUgMTMwIDAuNCAyINC8INCf0K0gUkFMIDgwMTcg0YjQvtC60L7Qu9Cw0LQg0JotNTE0JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzI4LjAwMCd9
круг 10 0.8 тонны ,eydudW1fbWF0JzogJzE1NTQnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTAgMTAg0Lwg0YHRgiAzICcsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMC44MDAnfQ==
круг 12 1.5 тонны ,eydudW1fbWF0JzogJzE2MTUnLCAnbmFtZV9tYXQnOiAnINCa0L7QvdC10Log0L/Qu9C+0YHQutC40LkgMTUwIDE1MCAwLjM1IDIg0Lwg0J/QrSBSQUwgNzAyNCDRgdC10YDRi9C5INCz0YDQsNGE0LjRgiDQmi01MTInLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNTAwJ30=
круг 14-1.5 тонны ,eydudW1fbWF0JzogJzE2NDMnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTQgMS4xINC8INGB0YIgMycsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMS41MDAnfQ==
